latitude,longitude,month,day_of_year,prev_concentration,sst,air_temperature,wind_speed,wind_direction,current_speed,wave_height,target_concentration
-67.746,28.411,1,318,25.3,-0.28,-11.2,16.7,93.9,1.24,1.63,25.6
-75.644,52.38,8,162,94.7,-1.21,-29.9,28.0,202.7,0.27,0.67,96.6
-75.616,-54.357,2,126,55.4,-1.67,-19.8,31.0,220.2,1.78,2.03,55.9
-63.292,-72.224,11,54,39.8,0.02,-10.1,9.0,199.2,0.56,2.36,40.8
-74.335,48.326,5,259,67.6,-1.05,-19.6,8.4,152.5,0.57,0.23,69.4
-66.532,-85.696,12,227,35.8,-0.25,-14.6,7.8,317.9,1.64,2.26,37.3
-67.515,-126.686,3,22,29.1,-0.1,-9.1,36.8,323.6,0.46,1.32,28.9
-63.958,138.288,7,318,50.3,0.41,-11.6,11.0,288.0,0.4,1.49,50.4
-61.359,101.659,7,343,43.9,0.7,-7.8,34.1,38.9,1.58,3.04,43.8
-63.301,-14.291,5,117,25.5,0.34,-7.9,15.3,25.0,1.41,1.78,26.0
-65.769,123.718,6,15,38.5,0.18,-14.0,40.6,95.6,0.28,1.82,39.7
-72.354,38.235,9,60,71.0,-0.97,-23.1,31.2,0.6,1.67,1.3,72.9
-64.645,61.426,6,221,33.9,0.15,-11.2,16.6,305.3,1.32,1.44,34.2
-70.649,-35.136,5,284,48.0,-0.83,-13.8,30.1,325.0,1.15,1.2,49.0
-77.993,-76.711,7,297,94.2,-1.91,-29.5,30.0,184.0,1.45,1.14,96.6
-66.141,-77.837,11,325,42.9,-0.4,-7.4,13.7,111.8,1.47,0.79,42.6
-60.289,40.059,2,234,5.3,0.74,-3.6,30.8,178.0,0.51,3.61,4.5
-64.483,97.217,2,218,15.3,0.26,-5.4,22.2,200.7,1.66,0.97,14.9
-69.636,11.207,9,305,60.6,-0.49,-17.9,35.2,321.1,0.83,2.49,61.6
-75.135,130.138,8,133,89.5,-1.2,-27.1,33.8,174.5,0.51,0.69,91.7
-73.779,-59.095,9,42,70.8,-1.37,-21.6,31.1,23.1,0.79,1.32,72.1
-74.277,-28.748,10,357,65.0,-1.05,-22.6,22.6,339.4,0.61,1.12,67.2
-62.957,13.759,12,280,28.9,0.53,-5.8,15.1,174.8,0.76,2.92,29.7
-64.965,122.582,3,319,25.1,0.25,-7.1,29.5,30.2,0.83,3.82,24.9
-73.317,-62.153,8,168,75.1,-0.92,-24.5,40.2,151.8,1.52,1.07,77.1
-77.062,162.691,4,333,61.2,-1.4,-29.0,6.1,89.0,1.53,1.77,62.6
-69.476,-138.82,4,239,48.6,-0.46,-17.4,27.5,269.3,0.29,2.73,50.5
-76.054,-170.756,5,295,77.1,-1.25,-25.6,31.5,27.4,1.27,1.3,78.1
-64.095,126.106,10,62,46.6,0.17,-12.7,24.7,238.1,0.22,2.29,46.5
-70.439,-3.527,7,186,69.6,-0.55,-16.9,21.1,264.2,1.74,0.78,71.2
-68.313,-5.941,7,304,55.2,-0.24,-12.9,8.2,317.4,0.51,1.52,56.2
-71.178,-169.668,6,94,64.0,-0.94,-20.8,15.3,214.6,1.6,1.53,65.4
-74.561,-93.112,7,251,81.8,-1.48,-24.4,31.3,161.3,0.13,0.63,83.3
-73.621,59.026,6,243,73.5,-1.29,-18.3,25.4,126.7,0.87,0.79,74.3
-65.017,-66.403,12,275,38.7,0.12,-11.1,32.3,99.5,1.1,2.91,39.5
-60.351,119.746,5,117,18.4,0.53,-1.3,9.7,16.4,0.19,1.66,19.2
-66.518,91.005,2,7,29.2,-0.22,-10.3,11.8,18.5,1.7,2.19,30.4
-70.787,-153.33,11,352,47.0,-1.01,-17.0,16.2,357.8,0.3,2.63,48.3
-63.767,-98.753,9,195,43.7,0.14,-6.4,41.6,109.9,1.16,2.26,44.5
-60.943,-105.196,4,136,19.4,0.36,-5.5,7.8,1.0,0.87,2.91,19.3
-73.833,74.504,12,233,50.5,-1.38,-22.7,34.3,212.3,1.47,0.86,51.3
-73.953,-126.364,5,73,57.9,-1.44,-23.4,32.7,204.9,0.59,0.58,59.8
-65.405,159.363,9,277,50.0,-0.3,-15.2,21.0,116.0,0.53,0.56,51.8
-62.953,27.072,1,345,24.1,0.34,-3.0,11.5,186.8,0.85,1.51,25.1
-70.154,113.128,2,241,36.8,-0.81,-13.5,36.7,118.7,1.28,1.35,38.5
-63.356,18.035,8,46,41.5,0.13,-5.1,20.0,185.3,1.78,2.48,41.9
-70.562,-112.47,6,319,67.3,-0.69,-16.0,12.5,197.7,1.68,1.18,68.7
-75.814,170.333,10,123,83.9,-1.61,-29.2,20.1,80.9,1.53,0.32,86.6
-66.341,-124.57,12,150,34.3,-0.32,-7.8,41.3,87.7,1.04,1.73,35.6
-68.852,136.557,2,142,41.0,-0.32,-14.3,34.1,96.2,0.1,2.72,42.5
-67.561,57.579,3,229,33.9,-0.44,-11.1,25.1,163.9,0.65,1.04,35.0
-67.708,-95.918,7,23,54.2,-0.39,-11.4,19.1,355.8,1.45,2.06,54.3
-60.633,-134.551,10,170,36.5,0.84,-4.7,24.5,164.5,1.33,1.77,37.0
-75.221,-10.983,5,174,73.2,-1.48,-27.0,17.2,242.8,1.01,2.06,75.2
-62.026,-4.339,9,19,41.2,0.26,-5.4,15.6,81.9,0.25,3.54,42.0
-65.33,-143.817,3,356,21.6,-0.32,-9.8,7.1,129.0,0.83,1.41,22.1
-65.728,-115.18,3,41,29.2,-0.17,-7.5,23.4,209.9,0.49,2.79,29.6
-65.997,143.607,8,148,57.5,-0.34,-13.0,17.8,211.5,1.19,1.37,57.9
-62.785,-108.282,7,248,33.5,0.24,-9.0,15.9,251.7,0.14,3.35,33.8
-77.854,131.424,12,26,80.7,-1.63,-23.8,38.4,279.3,0.49,1.48,81.8
-74.578,-89.774,12,338,65.2,-1.54,-25.1,28.2,14.2,1.44,0.3,66.6
-75.635,147.466,6,213,72.6,-1.69,-24.8,40.9,191.1,1.65,1.84,73.9
-63.156,-6.535,5,174,36.6,0.24,-10.3,32.9,81.2,1.25,2.69,37.0
-62.777,20.633,2,203,5.5,0.34,-5.0,29.9,242.0,1.09,4.4,6.6
-76.05,-95.824,1,318,69.1,-1.49,-20.0,13.2,22.8,1.5,2.14,70.1
-70.651,-129.68,1,156,53.3,-1.01,-17.9,24.9,139.9,0.73,2.92,54.8
-68.277,31.443,12,80,48.3,-0.36,-10.5,27.8,338.1,0.58,2.36,48.5
-69.995,-94.999,6,51,69.9,-0.77,-14.0,28.9,21.8,0.57,2.23,71.6
-63.165,-146.998,4,329,26.3,0.54,-9.6,17.3,356.0,1.44,1.19,27.4
-68.024,31.098,4,169,45.2,-0.24,-12.0,15.3,354.3,1.78,2.0,46.5
-76.021,131.921,3,8,58.4,-1.35,-22.5,5.6,95.5,0.32,1.34,59.2
-76.856,-18.621,6,263,85.1,-1.67,-29.0,27.8,261.8,1.64,1.1,86.7
-66.42,-168.786,8,206,53.9,-0.43,-11.5,21.4,323.7,0.65,0.68,54.0
-66.762,30.731,12,167,33.2,-0.18,-12.7,23.7,154.9,1.45,0.78,34.3
-62.201,18.481,4,221,19.4,0.23,-6.0,21.8,149.8,0.26,2.21,20.0
-71.263,-125.05,8,35,63.4,-1.11,-20.4,32.5,134.2,0.32,0.38,65.6
-67.89,61.205,7,182,65.9,-0.13,-15.6,38.9,18.5,0.59,0.93,66.1
-68.867,-124.297,8,115,70.5,-0.62,-16.1,9.3,100.3,0.48,1.09,71.7
-64.186,43.821,11,330,35.1,0.18,-7.1,30.7,10.4,0.56,3.05,36.3
-71.682,-114.694,3,290,50.0,-1.18,-15.3,41.0,33.0,1.0,1.39,51.0
-75.167,-67.811,6,291,79.5,-1.18,-27.2,32.9,17.9,0.24,0.92,81.1
-67.073,-30.894,4,263,28.9,-0.32,-13.2,30.1,175.2,1.23,0.55,29.5
-67.212,-177.233,5,109,49.4,-0.14,-14.2,9.4,179.1,0.83,0.67,50.3
-73.858,21.14,11,182,57.6,-1.01,-25.4,5.7,331.6,1.57,1.76,59.4
-65.229,-29.63,2,208,13.8,-0.13,-5.6,27.9,299.5,1.66,0.83,14.8
-73.62,31.994,9,41,75.4,-1.31,-24.2,17.3,60.5,0.97,0.4,77.0
-61.693,-54.225,12,331,24.9,0.31,-6.8,12.3,216.9,1.39,2.99,24.7
-64.089,-2.118,10,297,39.6,0.39,-8.5,28.5,224.8,1.57,2.44,39.4
-76.771,-20.805,5,141,77.7,-1.72,-29.2,22.1,13.5,0.73,0.68,79.9
-60.407,-147.493,10,260,26.0,0.69,-0.3,32.3,14.8,1.65,2.63,25.4
-67.11,0.492,1,231,23.6,-0.05,-12.1,31.4,181.6,0.39,1.4,24.2
-70.09,8.189,3,187,39.0,-0.83,-15.7,17.5,215.2,1.44,2.52,39.3
-76.299,64.217,5,130,78.8,-1.47,-21.9,37.3,120.0,1.09,0.41,80.0
-60.581,71.453,7,67,36.0,0.88,-6.3,18.9,285.0,1.48,2.7,36.9
-64.702,66.749,9,48,50.7,0.0,-11.7,18.4,64.9,0.46,3.03,51.4
-73.922,-130.476,2,152,59.3,-1.47,-17.9,35.9,318.1,0.16,1.1,61.0
-75.641,-44.381,3,93,66.6,-1.31,-20.2,11.1,157.6,0.8,1.73,67.5
-70.004,-77.426,12,230,41.0,-0.85,-11.8,34.0,325.4,0.43,2.56,41.9
-70.069,96.998,7,258,66.2,-0.42,-15.5,34.6,49.8,0.53,1.66,67.9
-68.018,-143.068,9,64,54.6,-0.26,-17.0,38.5,53.0,0.84,2.85,55.2
-69.88,-54.149,1,213,31.9,-0.67,-16.8,41.8,135.0,0.15,3.78,33.6
-66.301,104.897,3,20,24.6,0.02,-8.2,10.1,254.0,0.86,0.42,24.3
-73.393,120.587,9,312,77.3,-1.39,-24.3,16.1,17.2,0.81,1.59,78.8
-76.005,145.853,10,275,70.7,-1.51,-27.7,10.3,154.5,1.15,0.7,72.4
-66.041,-149.179,6,35,56.2,-0.11,-9.5,23.8,7.3,1.58,0.38,56.6
-71.281,89.034,6,35,61.5,-0.73,-18.0,33.5,264.7,0.67,0.35,62.8
-63.357,-116.968,11,238,40.8,0.22,-9.7,10.0,257.8,1.7,0.45,40.8
-63.76,138.885,6,159,39.8,0.47,-8.3,14.4,271.2,0.42,1.53,40.7
-62.416,-60.507,2,189,12.8,0.3,-4.6,40.4,122.1,0.42,3.54,12.8
-63.649,-83.981,2,218,9.7,0.25,-3.2,25.2,115.6,0.24,3.5,9.5
-67.153,-26.598,12,228,33.9,-0.57,-8.6,18.0,359.3,0.57,3.87,35.3
-76.649,49.505,6,263,88.5,-1.5,-22.9,10.3,218.7,1.43,0.18,89.3
-63.987,-48.122,7,291,36.1,-0.06,-10.0,18.7,159.8,0.23,0.83,36.5
-72.341,-79.672,2,14,51.9,-1.01,-18.8,25.8,94.2,0.54,1.55,54.0
-72.86,149.932,8,103,69.3,-0.87,-22.5,38.3,160.2,0.25,1.65,71.4
-72.247,-54.927,2,282,47.7,-0.77,-14.9,31.3,333.8,1.18,2.69,48.7
-75.815,-107.647,3,122,66.4,-1.78,-22.5,18.6,289.3,1.04,1.59,67.2
-72.433,179.854,12,246,55.0,-0.87,-16.3,7.7,350.1,1.19,1.49,56.4
-71.799,136.066,9,328,73.2,-0.78,-23.4,23.6,312.6,1.51,1.21,74.3
-75.085,156.506,4,178,72.2,-1.38,-24.3,7.9,70.7,1.73,0.75,74.0
-66.94,-146.366,11,87,45.0,-0.22,-14.8,28.1,324.7,0.67,3.2,45.1
-62.452,-150.76,11,296,23.5,0.19,-5.3,27.9,10.9,1.61,2.6,24.1
-72.562,-91.844,11,208,57.8,-1.3,-23.5,21.3,174.3,0.45,1.83,59.0
-65.069,84.312,6,205,36.5,-0.08,-9.9,16.8,167.9,0.55,1.21,36.4
-72.776,-41.706,10,215,64.6,-0.86,-23.8,17.1,208.0,0.63,1.99,66.1
-68.735,-0.447,5,255,39.6,-0.25,-14.6,40.8,77.5,0.7,0.5,40.5
-62.118,55.534,8,147,41.8,0.61,-7.7,37.7,261.9,1.4,1.52,42.0
-67.735,-109.924,9,148,49.4,-0.37,-12.6,15.3,356.1,1.26,0.64,51.1
-70.91,106.163,6,286,72.1,-0.66,-20.9,23.8,180.0,0.18,0.47,73.1
-69.473,-15.484,10,264,51.4,-0.36,-18.0,19.5,221.9,1.53,1.98,52.5
-68.825,-3.655,10,154,55.9,-0.82,-17.0,9.1,150.0,0.62,2.67,57.7
-66.673,34.887,5,336,47.9,-0.06,-11.1,31.7,210.1,0.39,2.19,48.8
-62.859,-126.801,11,125,20.2,0.57,-9.6,5.7,112.9,0.36,3.29,20.5
-64.05,151.388,12,32,30.6,0.15,-6.8,41.9,172.2,0.74,3.94,30.9
-68.404,16.658,11,349,50.9,-0.35,-13.3,12.1,88.7,1.05,0.94,52.6
-72.643,-75.959,4,354,59.2,-1.17,-20.4,39.5,286.3,0.56,0.56,60.9
-71.166,172.858,6,75,60.0,-0.98,-17.2,17.8,159.3,0.54,1.45,60.6
-68.306,155.889,12,140,33.4,-0.38,-12.5,14.0,241.1,1.0,2.66,33.4
-70.561,78.249,2,349,46.6,-1.06,-15.0,39.4,146.5,1.69,2.99,47.6
-74.41,167.009,6,147,78.0,-1.06,-26.7,26.2,192.7,1.33,1.81,80.5
-74.849,137.608,3,19,67.3,-1.42,-21.6,39.7,346.4,1.67,2.14,67.9
-67.777,-141.372,6,146,52.0,-0.3,-14.0,37.9,48.3,0.96,1.06,53.4
-72.048,83.203,11,132,64.5,-1.26,-20.5,15.9,242.8,0.43,1.64,66.1
-70.701,-26.027,6,45,60.7,-1.03,-14.4,22.7,336.9,0.11,1.19,61.6
-73.194,-61.335,10,294,61.2,-1.04,-20.2,7.3,42.6,0.62,1.24,62.5
-61.888,73.281,5,354,18.6,0.69,-6.8,27.7,78.9,0.33,1.07,19.4
-67.097,-30.296,9,242,60.9,-0.1,-11.3,33.2,244.9,1.11,2.19,61.6
-68.493,-49.757,10,58,46.5,-0.45,-15.1,26.2,53.9,0.66,1.9,46.8
-74.303,29.933,2,262,52.6,-1.55,-23.6,20.4,203.0,1.05,2.17,53.9
-77.608,-88.395,1,112,68.1,-2.02,-26.7,7.4,357.9,1.69,0.37,70.7
-77.429,-32.808,3,329,75.5,-1.63,-25.8,41.7,137.7,1.58,1.87,77.0
-65.711,58.245,9,69,54.2,-0.18,-14.5,24.9,190.4,1.34,0.88,54.2
-77.591,-72.589,11,279,77.1,-1.82,-29.1,22.0,55.8,0.42,1.74,79.5
-77.42,57.671,10,9,79.9,-1.98,-26.8,21.5,241.9,1.58,0.58,80.9
-70.099,14.314,1,72,41.6,-0.83,-12.5,32.1,114.8,1.12,2.52,42.1
-72.568,-128.426,11,267,56.3,-1.17,-23.5,40.1,316.7,1.65,1.93,57.7
-69.079,170.024,11,344,47.9,-0.55,-13.5,20.1,108.0,0.41,1.92,48.3
-73.944,128.715,3,238,62.7,-1.2,-16.6,25.6,48.3,0.51,0.72,64.1
-61.4,124.968,2,275,15.2,0.32,-4.5,29.9,217.1,1.59,1.26,15.9
-64.963,21.186,8,107,57.9,-0.09,-7.5,5.6,337.4,1.74,0.56,59.3
-69.379,-92.666,10,361,52.4,-0.35,-16.0,33.7,137.0,1.01,1.29,53.0
-68.769,-0.98,2,241,40.5,-0.63,-15.3,16.6,16.5,1.57,2.79,40.6
-68.04,30.251,12,214,35.7,-0.6,-15.0,26.1,88.5,1.04,3.67,36.4
-64.26,-4.096,12,329,32.0,0.08,-5.7,18.0,50.4,1.03,1.04,33.0
-60.174,164.605,9,18,39.5,0.42,-1.7,6.8,2.3,0.33,2.45,38.8
-75.281,-101.261,8,192,76.1,-1.34,-22.0,38.8,237.3,0.13,1.16,77.4
-77.699,79.989,9,147,81.5,-1.57,-27.2,34.8,327.5,0.28,0.31,82.7
-74.545,9.524,6,137,81.4,-1.57,-19.9,22.0,87.6,1.29,0.64,83.4
-76.549,177.003,11,17,67.0,-1.67,-25.1,7.1,3.4,0.39,1.32,68.6
-63.881,23.708,2,271,27.3,-0.0,-2.9,30.6,204.0,0.56,3.96,27.8
-72.953,15.491,11,17,56.8,-0.89,-24.4,12.7,51.9,1.5,2.43,59.1
-72.613,23.025,10,200,72.6,-1.03,-21.8,32.4,284.6,1.27,0.35,74.5
-71.775,-144.833,4,39,49.1,-0.77,-14.3,19.7,278.5,0.15,1.1,50.9
-69.169,-51.908,7,222,56.4,-0.52,-17.7,33.6,106.3,0.52,0.46,57.1
-71.16,102.201,3,200,41.4,-1.09,-20.4,16.4,129.6,0.56,0.76,42.2
-69.921,19.706,7,53,55.7,-0.77,-21.1,27.1,116.8,0.75,1.05,56.9
-76.475,144.409,4,293,68.3,-1.48,-27.2,15.0,96.6,0.35,0.58,69.7
-72.604,101.76,6,129,77.9,-0.92,-20.9,27.8,164.8,0.33,0.19,79.1
-62.851,-43.24,6,226,33.2,0.49,-4.5,41.0,49.0,0.65,3.79,32.9
-72.345,167.247,6,150,72.8,-0.93,-16.8,33.9,117.3,0.58,1.74,73.7
-61.223,-108.072,9,93,39.8,0.56,-2.1,22.1,255.0,0.85,1.31,40.2
-63.259,106.436,7,345,43.0,0.33,-10.6,29.4,257.5,1.44,0.56,44.5
-69.374,-35.71,9,355,61.7,-0.88,-13.3,31.0,292.4,1.11,2.46,61.9
-73.532,59.29,3,332,55.2,-1.14,-18.6,28.9,348.1,0.66,2.42,55.7
-76.225,-100.08,12,266,68.2,-1.44,-26.4,18.8,166.7,1.26,1.71,69.3
-60.041,-6.202,5,213,28.5,0.45,0.1,32.0,125.4,0.68,3.37,28.5
-71.731,-144.856,12,357,51.2,-1.19,-21.6,31.3,8.1,0.68,0.6,53.2
-61.261,86.576,9,90,37.4,0.42,-6.4,22.1,287.2,1.17,0.99,38.0
-70.88,85.46,4,231,51.1,-0.88,-15.1,12.6,270.8,1.47,0.47,51.4
-62.304,-112.694,6,101,33.8,0.24,-3.7,24.5,230.1,1.11,2.55,34.1
-71.737,124.386,10,89,72.4,-0.81,-21.3,27.7,30.5,0.33,0.43,73.4
-74.705,69.637,9,199,79.5,-1.56,-25.4,11.9,228.8,1.28,1.26,82.1
-68.012,-3.729,3,96,30.9,-0.44,-15.7,18.3,3.5,0.33,3.4,32.7
-68.902,-1.811,11,252,48.0,-0.33,-15.0,8.1,11.1,1.39,1.18,48.5
-68.323,-119.445,8,290,66.6,-0.3,-15.4,9.2,41.1,1.42,2.05,67.3
-63.193,-165.02,12,226,24.6,0.55,-9.2,35.7,270.5,0.61,4.37,25.0
-71.726,114.022,8,61,78.6,-1.09,-18.1,26.8,126.2,1.31,1.26,79.2
-75.494,-105.617,4,31,66.0,-1.43,-22.4,11.2,352.4,0.6,1.51,68.3
-68.741,144.056,2,70,44.4,-0.34,-9.5,41.7,312.1,0.32,3.04,44.6
-65.195,118.253,11,202,37.1,0.02,-11.6,20.3,162.7,1.18,3.39,37.1
-68.719,-79.839,6,233,65.1,-0.61,-19.5,33.6,263.8,1.34,1.28,66.6
-71.552,-157.201,9,204,65.0,-0.95,-22.4,14.9,298.2,0.67,1.55,66.6
-69.264,-56.254,11,25,41.8,-0.51,-12.7,5.6,334.6,0.37,1.81,43.5
-70.3,178.45,3,333,38.2,-0.51,-12.3,8.5,129.8,0.24,2.61,39.3
-77.068,45.218,12,359,75.0,-1.71,-28.6,8.5,76.8,0.23,1.3,77.0
-69.989,-177.097,6,62,70.1,-0.73,-20.2,7.6,137.9,1.34,0.42,71.1
-62.142,-130.633,3,329,24.9,0.19,-3.7,5.3,234.0,0.85,3.26,25.3
-75.275,-31.784,11,227,78.1,-1.67,-26.9,32.8,212.2,0.75,1.86,79.6
-75.483,-80.292,2,128,58.7,-1.39,-21.4,33.8,248.6,1.54,1.94,59.8
-68.681,3.428,12,201,37.8,-0.77,-10.5,40.3,178.2,0.29,2.05,38.7
-68.491,171.971,6,163,47.9,-0.26,-14.6,18.5,245.9,1.4,3.17,49.3
-77.7,-155.688,5,111,69.8,-2.02,-24.8,23.7,226.3,0.95,1.08,71.9
-76.516,13.163,10,79,77.6,-1.71,-26.2,12.5,290.9,1.01,0.87,79.6
-62.979,65.18,2,159,19.9,0.42,-2.1,7.1,31.0,0.84,2.31,20.2
-72.433,87.01,12,90,46.8,-0.9,-17.3,11.1,343.1,0.99,2.69,48.3
-74.995,-134.305,5,61,75.4,-1.67,-20.9,15.1,23.0,1.31,1.26,76.1
-69.806,-50.355,8,291,60.0,-0.87,-15.7,38.1,242.7,0.3,2.1,60.2
-62.544,-175.576,1,242,13.6,0.6,-7.1,40.5,12.7,1.47,3.61,14.2
-73.959,-90.625,12,164,55.0,-1.49,-22.0,23.6,324.7,0.4,2.45,57.4
-60.827,-155.186,8,145,42.2,0.47,-8.7,21.9,132.8,0.6,2.87,43.1
-73.633,-47.421,8,101,84.1,-1.17,-20.8,10.6,335.7,0.14,0.96,85.7
-65.518,-176.546,6,1,50.6,-0.14,-9.1,16.4,73.9,1.77,1.5,52.0
-60.494,-128.746,5,48,12.5,0.47,-0.4,20.3,322.4,0.88,3.8,12.6
-68.902,49.398,7,39,63.6,-0.8,-15.1,9.8,105.0,1.55,2.41,64.4
-63.026,-62.549,8,140,38.8,0.55,-11.4,33.5,39.2,0.28,1.86,39.1
-75.827,-51.017,4,232,61.9,-1.64,-26.6,10.8,247.0,1.5,1.93,62.9
-62.953,-61.994,2,365,10.8,0.2,-4.7,30.1,93.7,1.78,0.6,10.9
-69.86,89.308,4,49,45.1,-0.49,-18.2,5.4,298.9,1.77,0.72,46.8
-71.3,46.907,11,44,59.3,-1.01,-15.7,5.8,23.2,1.63,1.37,59.7
-61.709,118.568,6,63,23.6,0.44,-8.4,26.2,295.8,0.77,0.52,24.4
-74.889,-102.702,3,141,53.1,-1.14,-25.4,27.9,88.5,0.6,1.43,54.9
-76.902,-79.281,3,215,58.2,-1.42,-24.3,28.3,288.8,1.45,2.81,60.3
-71.536,16.026,8,177,80.7,-0.9,-21.2,11.7,114.8,0.47,1.63,82.6
-76.945,176.951,9,184,93.9,-1.35,-23.8,8.7,236.5,0.55,1.0,96.2
-76.994,178.701,4,295,76.6,-1.48,-26.4,36.1,304.3,0.4,1.25,78.9
-65.443,149.033,1,361,30.0,0.21,-8.0,25.8,67.8,1.78,3.68,30.4
-72.437,-3.443,2,29,42.1,-1.2,-17.8,5.0,330.4,0.44,0.75,43.7
-61.462,123.942,6,31,22.3,0.55,-2.1,33.7,304.7,1.56,4.32,22.1
-61.045,-37.586,2,173,5.5,0.34,-4.9,40.1,285.1,1.73,3.57,5.2
-60.563,69.682,10,183,23.3,0.68,-6.8,16.4,247.9,0.32,3.34,24.4
-60.923,-39.023,10,17,23.7,0.46,-2.2,27.6,230.3,0.28,2.39,23.5
-76.599,-55.148,6,86,85.1,-1.33,-23.9,29.8,262.5,0.67,0.16,86.2
-65.523,-53.827,2,1,15.4,-0.1,-9.1,11.2,149.0,1.6,1.97,15.7
-63.081,103.943,10,334,42.4,0.11,-8.0,34.6,12.0,0.13,1.17,42.2
-71.847,139.655,3,39,48.3,-0.71,-20.7,27.0,220.9,0.92,0.39,50.4
-75.03,140.311,3,28,50.0,-1.56,-24.3,30.8,259.9,1.34,1.07,51.3
-73.724,-162.131,10,282,79.5,-1.41,-23.5,20.8,106.0,1.23,1.18,80.5
-77.537,-118.5,5,42,77.9,-1.97,-24.6,22.4,322.2,0.55,1.3,79.4
-71.322,-42.68,3,229,36.5,-0.91,-18.6,36.0,203.1,0.36,2.77,37.0
-65.973,110.945,7,302,46.6,-0.39,-13.2,24.3,347.6,1.27,3.17,47.6
-73.758,-72.413,7,18,78.0,-0.97,-20.7,30.1,223.3,0.3,1.5,78.8
-60.281,169.979,4,65,4.8,0.41,-0.6,12.5,296.1,0.35,3.34,4.5
-64.912,110.644,2,199,23.5,0.05,-4.7,24.2,330.2,0.12,3.22,23.9
-63.93,-139.493,3,76,22.3,0.2,-2.7,8.7,38.0,1.43,3.61,23.1
-62.158,136.042,5,197,30.3,0.44,-5.7,11.4,145.1,1.15,2.92,30.4
-70.876,136.425,12,122,40.2,-0.83,-18.6,18.8,121.6,1.45,1.37,42.0
-62.552,66.547,4,69,17.5,0.49,-3.0,16.9,262.4,1.13,0.81,17.5
-61.558,-33.419,8,265,46.5,0.68,-6.3,10.9,112.0,0.96,0.72,47.4
-62.172,-169.579,4,103,27.0,0.25,-5.0,39.0,253.7,0.57,3.58,27.3
-66.563,-135.406,1,124,27.2,-0.16,-12.7,37.2,211.3,0.69,1.02,28.7
-64.519,67.986,5,15,32.8,-0.13,-8.2,40.7,308.6,1.2,2.83,32.9
-70.629,-172.781,11,5,54.9,-1.0,-19.9,34.6,80.6,1.13,2.83,56.6
-65.231,-80.864,7,179,48.7,-0.2,-12.9,24.3,224.5,1.09,0.32,50.4
-60.603,122.176,9,332,36.0,0.49,-3.4,22.8,121.1,0.57,1.49,35.7
-66.19,162.788,11,153,34.4,-0.15,-13.2,7.1,308.6,1.48,1.8,34.9
-75.481,-170.836,8,152,80.8,-1.5,-26.6,6.3,254.9,1.07,0.47,83.0
-73.997,12.469,8,344,77.8,-1.36,-26.3,29.3,201.0,0.6,1.0,80.0
-64.947,21.251,3,349,32.4,0.11,-10.1,13.3,313.7,0.81,3.6,32.8
-67.46,-13.046,2,241,21.9,-0.26,-10.5,28.0,170.0,0.43,0.9,22.9
-68.463,-31.281,3,71,45.9,-0.57,-8.8,38.0,355.2,0.34,2.97,45.9
-76.545,-60.253,3,161,65.7,-1.9,-25.8,33.2,60.7,1.4,1.33,68.0
-76.415,41.213,11,220,72.8,-1.3,-26.2,6.4,71.8,0.73,0.22,74.2
