external_id,timestamp,latitude,longitude,prev_latitude,prev_longitude,length,width,height,speed,direction,wind_speed,wind_direction,current_speed,current_direction,sea_ice_concentration,next_latitude,next_longitude
A-23a,2026-08-03T18:00:00+00:00,-69.4843,-49.6197,-69.5292,-49.3984,5214.7,2767.8,264.5,0.99,300.1,22.7,271.5,0.97,285.1,77.8,-69.4343,-49.8656
A-23a,2026-08-04T00:00:00+00:00,-69.4343,-49.8656,-69.4267,-49.6066,5214.7,2767.8,264.5,1.01,265.2,22.0,233.0,0.93,250.2,57.5,-69.4427,-50.1533
A-23a,2026-08-04T06:00:00+00:00,-69.4427,-50.1533,-69.3562,-50.1227,5214.7,2767.8,264.5,0.97,187.1,33.1,145.9,0.55,172.1,30.8,-69.5389,-50.1873
A-23a,2026-08-04T12:00:00+00:00,-69.5389,-50.1873,-69.5755,-50.2602,5214.7,2767.8,264.5,0.49,34.9,33.7,45.4,0.25,19.9,84.7,-69.4982,-50.1064
A-23a,2026-08-04T18:00:00+00:00,-69.4982,-50.1064,-69.5954,-50.4319,5214.7,2767.8,264.5,1.66,49.5,33.3,41.6,1.47,34.5,39.5,-69.3902,-49.7447
A-23a,2026-08-05T00:00:00+00:00,-69.3902,-49.7447,-69.2924,-49.7772,5214.7,2767.8,264.5,1.09,173.3,8.7,175.4,1.25,158.3,70.4,-69.4989,-49.7086
A-23a,2026-08-05T06:00:00+00:00,-69.4989,-49.7086,-69.3834,-49.6355,5214.7,2767.8,264.5,1.31,192.5,30.5,162.0,1.03,177.5,29.1,-69.6272,-49.7899
A-23a,2026-08-05T12:00:00+00:00,-69.6272,-49.7899,-69.5713,-49.7851,5214.7,2767.8,264.5,0.62,181.7,31.8,142.7,0.4,166.7,78.7,-69.6895,-49.7953
A-23a,2026-08-05T18:00:00+00:00,-69.6895,-49.7953,-69.5948,-49.9463,5214.7,2767.8,264.5,1.2,151.0,15.6,143.7,1.2,136.0,33.3,-69.7946,-49.6274
A-23a,2026-08-06T00:00:00+00:00,-69.7946,-49.6274,-69.8431,-49.5742,5214.7,2767.8,264.5,0.58,339.2,11.9,345.5,0.54,324.2,61.6,-69.7408,-49.6867
A-23a,2026-08-06T06:00:00+00:00,-69.7408,-49.6867,-69.6817,-49.7039,5214.7,2767.8,264.5,0.66,174.2,11.0,134.7,0.69,159.2,77.7,-69.8064,-49.6675
A-23a,2026-08-06T12:00:00+00:00,-69.8064,-49.6675,-69.8448,-49.8798,5214.7,2767.8,264.5,0.92,62.4,34.2,28.1,0.61,47.4,55.9,-69.7638,-49.4315
A-23a,2026-08-06T18:00:00+00:00,-69.7638,-49.4315,-69.8705,-49.3335,5214.7,2767.8,264.5,1.24,342.4,9.2,353.3,1.39,327.4,41.5,-69.6454,-49.5405
A-23a,2026-08-07T00:00:00+00:00,-69.6454,-49.5405,-69.6131,-49.5511,5214.7,2767.8,264.5,0.36,173.5,17.3,182.4,0.22,158.5,68.4,-69.6812,-49.5288
A-23a,2026-08-07T06:00:00+00:00,-69.6812,-49.5288,-69.7508,-49.7251,5214.7,2767.8,264.5,1.08,44.4,24.8,21.6,0.91,29.4,44.1,-69.6039,-49.3106
A-23a,2026-08-07T12:00:00+00:00,-69.6039,-49.3106,-69.5425,-49.5525,5214.7,2767.8,264.5,1.16,126.1,21.5,120.3,1.06,111.1,41.2,-69.6721,-49.0419
A-23a,2026-08-07T18:00:00+00:00,-69.6721,-49.0419,-69.7488,-48.8956,5214.7,2767.8,264.5,1.02,326.5,19.0,288.4,1.02,311.5,69.3,-69.587,-49.2044
A-23a,2026-08-08T00:00:00+00:00,-69.587,-49.2044,-69.4928,-49.0904,5214.7,2767.8,264.5,1.13,202.9,21.0,185.0,1.13,187.9,68.7,-69.6915,-49.3311
A-23a,2026-08-08T06:00:00+00:00,-69.6915,-49.3311,-69.7414,-49.4279,5214.7,2767.8,264.5,0.67,34.0,23.2,359.5,0.41,19.0,41.5,-69.6362,-49.2235
A-23a,2026-08-08T12:00:00+00:00,-69.6362,-49.2235,-69.612,-48.9241,5214.7,2767.8,264.5,1.19,257.0,29.4,263.3,1.09,242.0,69.5,-69.663,-49.5562
A-23a,2026-08-08T18:00:00+00:00,-69.663,-49.5562,-69.6146,-49.4382,5214.7,2767.8,264.5,0.7,220.3,13.9,222.1,0.59,205.3,22.9,-69.7168,-49.6874
A-23a,2026-08-09T00:00:00+00:00,-69.7168,-49.6874,-69.7628,-49.8177,5214.7,2767.8,264.5,0.72,44.5,8.4,47.9,0.79,29.5,72.0,-69.6656,-49.5426
A-23a,2026-08-09T06:00:00+00:00,-69.6656,-49.5426,-69.5516,-49.4353,5214.7,2767.8,264.5,1.33,198.1,34.5,153.7,1.0,183.1,33.7,-69.7923,-49.6619
A-23a,2026-08-09T12:00:00+00:00,-69.7923,-49.6619,-69.7947,-49.8179,5214.7,2767.8,264.5,0.6,87.5,37.7,58.8,0.25,72.5,71.2,-69.7896,-49.4886
A-23a,2026-08-09T18:00:00+00:00,-69.7896,-49.4886,-69.842,-49.4748,5214.7,2767.8,264.5,0.58,354.8,14.6,329.4,0.43,339.8,27.4,-69.7315,-49.5039
A-23a,2026-08-10T00:00:00+00:00,-69.7315,-49.5039,-69.7972,-49.3496,5214.7,2767.8,264.5,0.94,320.9,28.1,292.2,0.68,305.9,44.2,-69.6584,-49.6753
A-23a,2026-08-10T06:00:00+00:00,-69.6584,-49.6753,-69.75,-49.6855,5214.7,2767.8,264.5,1.02,2.2,22.1,344.3,1.01,347.2,78.6,-69.5568,-49.6639
A-23a,2026-08-10T12:00:00+00:00,-69.5568,-49.6639,-69.4981,-49.5144,5214.7,2767.8,264.5,0.87,221.7,30.3,227.3,0.66,206.7,64.3,-69.6219,-49.83
A-23a,2026-08-10T18:00:00+00:00,-69.6219,-49.83,-69.5618,-49.7388,5214.7,2767.8,264.5,0.75,207.8,29.5,187.2,0.59,192.8,78.3,-69.6887,-49.9313
A-23a,2026-08-11T00:00:00+00:00,-69.6887,-49.9313,-69.7672,-49.9822,5214.7,2767.8,264.5,0.89,12.7,14.8,8.0,0.88,357.7,53.1,-69.6015,-49.8748
A-23a,2026-08-11T06:00:00+00:00,-69.6015,-49.8748,-69.6481,-49.6682,5214.7,2767.8,264.5,0.95,302.9,23.0,260.7,0.77,287.9,39.5,-69.5498,-50.1044
A-23a,2026-08-11T12:00:00+00:00,-69.5498,-50.1044,-69.5992,-50.2098,5214.7,2767.8,264.5,0.68,36.8,33.9,38.3,0.41,21.8,70.9,-69.4951,-49.9872
A-23a,2026-08-11T18:00:00+00:00,-69.4951,-49.9872,-69.4044,-50.2946,5214.7,2767.8,264.5,1.56,130.1,34.4,89.5,1.47,115.1,65.3,-69.5958,-49.6457
A-23a,2026-08-12T00:00:00+00:00,-69.5958,-49.6457,-69.5123,-49.6986,5214.7,2767.8,264.5,0.95,167.5,23.2,148.6,0.76,152.5,39.4,-69.6886,-49.5869
A-23a,2026-08-12T06:00:00+00:00,-69.6886,-49.5869,-69.6441,-49.2513,5214.7,2767.8,264.5,1.38,249.1,15.3,224.3,1.53,234.1,70.4,-69.7381,-49.9599
A-23a,2026-08-12T12:00:00+00:00,-69.7381,-49.9599,-69.8232,-50.1099,5214.7,2767.8,264.5,1.11,31.4,35.8,20.5,0.77,16.4,46.9,-69.6436,-49.7932
A-23a,2026-08-12T18:00:00+00:00,-69.6436,-49.7932,-69.5905,-50.0228,5214.7,2767.8,264.5,1.06,123.6,37.4,120.2,0.72,108.6,51.6,-69.7027,-49.5381
A-23a,2026-08-13T00:00:00+00:00,-69.7027,-49.5381,-69.7917,-49.4009,5214.7,2767.8,264.5,1.12,331.9,37.9,334.0,0.75,316.9,48.0,-69.6038,-49.6905
A-23a,2026-08-13T06:00:00+00:00,-69.6038,-49.6905,-69.5985,-50.0117,5214.7,2767.8,264.5,1.24,92.7,15.1,87.6,1.33,77.7,58.9,-69.6097,-49.3336
A-23a,2026-08-13T12:00:00+00:00,-69.6097,-49.3336,-69.6325,-49.2058,5214.7,2767.8,264.5,0.56,297.1,25.8,307.2,0.34,282.1,67.9,-69.5844,-49.4756
A-23a,2026-08-13T18:00:00+00:00,-69.5844,-49.4756,-69.4719,-49.3871,5214.7,2767.8,264.5,1.29,195.3,12.5,154.3,1.46,180.3,71.6,-69.7094,-49.5739
A-23a,2026-08-14T00:00:00+00:00,-69.7094,-49.5739,-69.7335,-49.745,5214.7,2767.8,264.5,0.71,68.0,28.9,54.7,0.27,53.0,22.1,-69.6827,-49.3837
A-23a,2026-08-14T06:00:00+00:00,-69.6827,-49.3837,-69.7787,-49.3033,5214.7,2767.8,264.5,1.11,343.8,16.7,303.7,1.15,328.8,65.5,-69.5761,-49.4731
A-23a,2026-08-14T12:00:00+00:00,-69.5761,-49.4731,-69.6356,-49.5927,5214.7,2767.8,264.5,0.81,35.1,28.0,31.5,0.43,20.1,26.5,-69.5101,-49.3402
A-23a,2026-08-14T18:00:00+00:00,-69.5101,-49.3402,-69.5588,-49.3765,5214.7,2767.8,264.5,0.56,14.7,37.9,29.6,0.26,359.7,80.0,-69.4561,-49.2998
A-23a,2026-08-15T00:00:00+00:00,-69.4561,-49.2998,-69.5857,-49.1457,5214.7,2767.8,264.5,1.56,337.4,31.7,322.9,1.35,322.4,37.4,-69.3121,-49.4709
A-23a,2026-08-15T06:00:00+00:00,-69.3121,-49.4709,-69.3488,-49.3927,5214.7,2767.8,264.5,0.51,323.0,16.7,301.3,0.3,308.0,29.0,-69.2712,-49.5579
A-23a,2026-08-15T12:00:00+00:00,-69.2712,-49.5579,-69.323,-49.5001,5214.7,2767.8,264.5,0.62,338.4,21.9,306.9,0.42,323.4,53.5,-69.2137,-49.6222
A-23a,2026-08-15T18:00:00+00:00,-69.2137,-49.6222,-69.2148,-49.8271,5214.7,2767.8,264.5,0.81,89.2,22.9,80.6,0.6,74.2,42.0,-69.2126,-49.3944
A-23a,2026-08-16T00:00:00+00:00,-69.2126,-49.3944,-69.1473,-49.2785,5214.7,2767.8,264.5,0.86,212.3,12.9,170.2,0.83,197.3,39.9,-69.285,-49.5233
A-23a,2026-08-16T06:00:00+00:00,-69.285,-49.5233,-69.3593,-49.4213,5214.7,2767.8,264.5,0.92,334.1,27.6,293.3,0.79,319.1,71.6,-69.2025,-49.6366
A-23a,2026-08-16T12:00:00+00:00,-69.2025,-49.6366,-69.1816,-49.4499,5214.7,2767.8,264.5,0.77,252.5,33.4,239.9,0.49,237.5,65.7,-69.2257,-49.8441
A-23a,2026-08-16T18:00:00+00:00,-69.2257,-49.8441,-69.3318,-49.9243,5214.7,2767.8,264.5,1.22,15.0,9.1,21.1,1.43,0.0,84.9,-69.1078,-49.7549
A-23a,2026-08-17T00:00:00+00:00,-69.1078,-49.7549,-69.1028,-49.5918,5214.7,2767.8,264.5,0.65,265.2,11.8,260.2,0.6,250.2,40.8,-69.1132,-49.9362
A-23a,2026-08-17T06:00:00+00:00,-69.1132,-49.9362,-69.054,-49.8235,5214.7,2767.8,264.5,0.79,214.2,15.2,173.4,0.77,199.2,63.4,-69.179,-50.0614
A-23a,2026-08-17T12:00:00+00:00,-69.179,-50.0614,-69.2028,-49.8786,5214.7,2767.8,264.5,0.77,290.1,28.1,262.6,0.62,275.1,78.2,-69.1526,-50.2646
A-23a,2026-08-17T18:00:00+00:00,-69.1526,-50.2646,-69.0825,-50.4492,5214.7,2767.8,264.5,1.07,136.8,27.7,131.1,0.75,121.8,23.2,-69.2304,-50.0594
A-23a,2026-08-18T00:00:00+00:00,-69.2304,-50.0594,-69.3052,-49.9008,5214.7,2767.8,264.5,1.04,323.1,33.2,289.3,0.75,308.1,50.1,-69.1473,-50.2357
A-23a,2026-08-18T06:00:00+00:00,-69.1473,-50.2357,-69.2027,-49.8879,5214.7,2767.8,264.5,1.51,294.1,37.0,282.1,1.41,279.1,73.0,-69.0857,-50.6222
A-23a,2026-08-18T12:00:00+00:00,-69.0857,-50.6222,-69.136,-50.3469,5214.7,2767.8,264.5,1.23,297.1,30.4,254.7,1.12,282.1,68.8,-69.0297,-50.9281
A-23a,2026-08-18T18:00:00+00:00,-69.0297,-50.9281,-69.1016,-51.2916,5214.7,2767.8,264.5,1.65,61.1,34.0,66.2,1.42,46.1,36.3,-68.9498,-50.5243
A-23a,2026-08-19T00:00:00+00:00,-68.9498,-50.5243,-68.9843,-50.3747,5214.7,2767.8,264.5,0.71,302.7,10.8,315.2,0.67,287.7,29.1,-68.9115,-50.6905
A-23a,2026-08-19T06:00:00+00:00,-68.9115,-50.6905,-68.836,-50.7071,5214.7,2767.8,264.5,0.84,175.5,23.4,178.3,0.59,160.5,31.7,-68.9953,-50.672
A-23a,2026-08-19T12:00:00+00:00,-68.9953,-50.672,-69.0553,-50.6982,5214.7,2767.8,264.5,0.67,8.9,9.2,3.3,0.71,353.9,60.0,-68.9286,-50.6429
A-23a,2026-08-19T18:00:00+00:00,-68.9286,-50.6429,-68.9474,-50.9661,5214.7,2767.8,264.5,1.31,80.8,18.1,37.7,1.28,65.8,33.1,-68.9077,-50.2838
A-23a,2026-08-20T00:00:00+00:00,-68.9077,-50.2838,-68.9171,-49.9576,5214.7,2767.8,264.5,1.31,274.6,12.4,244.9,1.4,259.6,37.8,-68.8973,-50.6461
A-23a,2026-08-20T06:00:00+00:00,-68.8973,-50.6461,-68.8332,-50.4266,5214.7,2767.8,264.5,1.13,230.9,19.7,190.3,1.03,215.9,32.8,-68.9686,-50.89
A-23a,2026-08-20T12:00:00+00:00,-68.9686,-50.89,-68.9996,-50.7716,5214.7,2767.8,264.5,0.58,306.1,31.1,263.3,0.26,291.1,58.4,-68.9341,-51.0216
A-23a,2026-08-20T18:00:00+00:00,-68.9341,-51.0216,-69.0205,-51.0254,5214.7,2767.8,264.5,0.96,0.9,16.7,358.8,0.84,345.9,21.2,-68.8382,-51.0173
A-23a,2026-08-21T00:00:00+00:00,-68.8382,-51.0173,-68.8868,-51.0722,5214.7,2767.8,264.5,0.58,22.2,25.7,347.4,0.29,7.2,47.1,-68.7842,-50.9562
A-23a,2026-08-21T06:00:00+00:00,-68.7842,-50.9562,-68.8763,-50.9507,5214.7,2767.8,264.5,1.02,358.8,21.9,318.4,1.0,343.8,74.3,-68.682,-50.9624
A-23a,2026-08-21T12:00:00+00:00,-68.682,-50.9624,-68.6039,-51.2057,5214.7,2767.8,264.5,1.31,131.4,14.7,95.3,1.45,116.4,73.1,-68.7687,-50.6921
A-23a,2026-08-21T18:00:00+00:00,-68.7687,-50.6921,-68.6784,-50.6303,5214.7,2767.8,264.5,1.03,193.9,28.1,208.6,0.75,178.9,34.9,-68.869,-50.7606
A-23a,2026-08-22T00:00:00+00:00,-68.869,-50.7606,-68.8805,-50.5948,5214.7,2767.8,264.5,0.68,280.9,14.7,295.7,0.53,265.9,23.1,-68.8563,-50.9449
A-23a,2026-08-22T06:00:00+00:00,-68.8563,-50.9449,-68.9216,-50.8323,5214.7,2767.8,264.5,0.85,328.2,10.3,289.2,0.95,313.2,81.1,-68.7836,-51.0699
A-23a,2026-08-22T12:00:00+00:00,-68.7836,-51.0699,-68.8762,-50.9951,5214.7,2767.8,264.5,1.07,343.7,8.5,312.7,1.23,328.7,71.2,-68.6809,-51.1531
A-23a,2026-08-22T18:00:00+00:00,-68.6809,-51.1531,-68.6611,-50.8832,5214.7,2767.8,264.5,1.11,258.6,31.1,238.8,0.9,243.6,54.7,-68.7028,-51.4529
A-23a,2026-08-23T00:00:00+00:00,-68.7028,-51.4529,-68.8054,-51.226,5214.7,2767.8,264.5,1.46,321.2,24.6,280.7,1.4,306.2,45.3,-68.5888,-51.7051
A-23a,2026-08-23T06:00:00+00:00,-68.5888,-51.7051,-68.6647,-51.9497,5214.7,2767.8,264.5,1.3,49.7,29.8,63.8,1.12,34.7,47.9,-68.5046,-51.4334
A-23a,2026-08-23T12:00:00+00:00,-68.5046,-51.4334,-68.5189,-51.642,5214.7,2767.8,264.5,0.86,79.4,17.9,88.4,0.87,64.4,80.5,-68.4887,-51.2017
A-23a,2026-08-23T18:00:00+00:00,-68.4887,-51.2017,-68.5304,-51.4095,5214.7,2767.8,264.5,0.96,61.3,29.9,60.8,0.61,46.3,30.5,-68.4423,-50.9709
A-23a,2026-08-24T00:00:00+00:00,-68.4423,-50.9709,-68.4735,-50.7744,5214.7,2767.8,264.5,0.87,293.4,20.8,262.5,0.71,278.4,38.8,-68.4075,-51.1892
A-23a,2026-08-24T06:00:00+00:00,-68.4075,-51.1892,-68.3378,-50.8797,5214.7,2767.8,264.5,1.48,238.5,37.9,249.0,1.09,223.5,30.1,-68.485,-51.5331
A-23a,2026-08-24T12:00:00+00:00,-68.485,-51.5331,-68.5864,-51.3489,5214.7,2767.8,264.5,1.35,326.3,11.6,337.4,1.54,311.3,70.1,-68.3724,-51.7378
A-23a,2026-08-24T18:00:00+00:00,-68.3724,-51.7378,-68.3277,-51.8923,5214.7,2767.8,264.5,0.8,128.1,30.8,97.2,0.45,113.1,41.9,-68.422,-51.5661
A-23a,2026-08-25T00:00:00+00:00,-68.422,-51.5661,-68.4912,-51.3864,5214.7,2767.8,264.5,1.06,316.3,23.0,300.7,0.95,301.3,51.3,-68.3452,-51.7657
A-23a,2026-08-25T06:00:00+00:00,-68.3452,-51.7657,-68.3502,-51.5276,5214.7,2767.8,264.5,0.98,273.3,26.4,282.8,0.7,258.3,31.5,-68.3395,-52.0302
A-23a,2026-08-25T12:00:00+00:00,-68.3395,-52.0302,-68.2726,-52.0226,5214.7,2767.8,264.5,0.74,182.4,32.2,196.3,0.55,167.4,79.4,-68.4139,-52.0386
A-23a,2026-08-25T18:00:00+00:00,-68.4139,-52.0386,-68.4192,-51.8499,5214.7,2767.8,264.5,0.77,274.4,32.1,285.6,0.32,259.4,29.5,-68.4079,-52.2484
A-23a,2026-08-26T00:00:00+00:00,-68.4079,-52.2484,-68.4558,-52.0771,5214.7,2767.8,264.5,0.88,307.2,12.8,293.5,0.95,292.2,80.1,-68.3548,-52.4387
A-23a,2026-08-26T06:00:00+00:00,-68.3548,-52.4387,-68.452,-52.6869,5214.7,2767.8,264.5,1.48,43.3,26.9,10.7,1.39,28.3,48.1,-68.2468,-52.163
A-23a,2026-08-26T12:00:00+00:00,-68.2468,-52.163,-68.2536,-51.9216,5214.7,2767.8,264.5,1.0,274.4,32.2,279.3,0.76,259.4,60.4,-68.2392,-52.4312
A-23a,2026-08-26T18:00:00+00:00,-68.2392,-52.4312,-68.2109,-52.1532,5214.7,2767.8,264.5,1.19,254.7,22.5,211.1,1.18,239.7,68.4,-68.2706,-52.74
A-23a,2026-08-27T00:00:00+00:00,-68.2706,-52.74,-68.403,-52.7062,5214.7,2767.8,264.5,1.48,354.6,33.0,336.2,1.29,339.6,49.8,-68.1235,-52.7774
A-23a,2026-08-27T06:00:00+00:00,-68.1235,-52.7774,-68.0584,-53.0802,5214.7,2767.8,264.5,1.45,120.0,17.7,132.8,1.46,105.0,32.2,-68.1958,-52.441
A-23a,2026-08-27T12:00:00+00:00,-68.1958,-52.441,-68.3067,-52.5128,5214.7,2767.8,264.5,1.27,13.5,25.1,6.2,1.13,358.5,42.0,-68.0726,-52.3613
A-23a,2026-08-27T18:00:00+00:00,-68.0726,-52.3613,-68.1599,-52.4261,5214.7,2767.8,264.5,1.01,15.5,30.5,2.7,0.64,0.5,28.7,-67.9755,-52.2893
A-23a,2026-08-28T00:00:00+00:00,-67.9755,-52.2893,-67.883,-52.1584,5214.7,2767.8,264.5,1.16,208.0,10.9,187.4,1.27,193.0,50.8,-68.0782,-52.4347
A-23a,2026-08-28T06:00:00+00:00,-68.0782,-52.4347,-67.9661,-52.3776,5214.7,2767.8,264.5,1.27,190.8,24.6,198.6,1.27,175.8,72.7,-68.2028,-52.4981
A-23a,2026-08-28T12:00:00+00:00,-68.2028,-52.4981,-68.1722,-52.3047,5214.7,2767.8,264.5,0.87,246.9,31.6,229.7,0.54,231.9,47.7,-68.2368,-52.7131
A-23a,2026-08-28T18:00:00+00:00,-68.2368,-52.7131,-68.2892,-52.9933,5214.7,2767.8,264.5,1.29,63.3,9.2,38.4,1.51,48.3,84.9,-68.1786,-52.4017
A-23a,2026-08-29T00:00:00+00:00,-68.1786,-52.4017,-68.2394,-52.0588,5214.7,2767.8,264.5,1.57,295.5,28.9,293.6,1.6,280.5,75.2,-68.1111,-52.7827
A-23a,2026-08-29T06:00:00+00:00,-68.1111,-52.7827,-68.1986,-52.8071,5214.7,2767.8,264.5,0.98,5.9,37.4,351.0,0.71,350.9,68.0,-68.0139,-52.7555
A-23a,2026-08-29T12:00:00+00:00,-68.0139,-52.7555,-68.0868,-52.7743,5214.7,2767.8,264.5,0.81,5.5,20.2,9.4,0.6,350.5,26.0,-67.9328,-52.7347
A-23a,2026-08-29T18:00:00+00:00,-67.9328,-52.7347,-67.84,-52.7347,5214.7,2767.8,264.5,1.03,180.0,12.1,189.0,1.04,165.0,27.4,-68.0359,-52.7346
A-23a,2026-08-30T00:00:00+00:00,-68.0359,-52.7346,-68.0342,-52.4996,5214.7,2767.8,264.5,0.98,268.9,37.2,276.5,0.65,253.9,57.5,-68.0378,-52.9958
A-23a,2026-08-30T06:00:00+00:00,-68.0378,-52.9958,-68.0751,-53.0583,5214.7,2767.8,264.5,0.49,32.1,25.5,28.4,0.27,17.1,69.4,-67.9963,-52.9263
A-23a,2026-08-30T12:00:00+00:00,-67.9963,-52.9263,-68.0442,-52.9184,5214.7,2767.8,264.5,0.53,356.4,30.6,328.7,0.31,341.4,80.8,-67.9432,-52.9352
A-23a,2026-08-30T18:00:00+00:00,-67.9432,-52.9352,-67.8252,-52.6615,5214.7,2767.8,264.5,1.74,221.1,34.1,196.6,1.47,206.1,26.5,-68.0743,-53.2392
A-017,2026-08-01T00:00:00+00:00,-67.9635,32.7327,-67.9541,32.8447,11122.7,7378.7,50.6,0.48,257.5,18.0,266.8,0.39,242.5,81.4,-67.9739,32.6082
A-017,2026-08-01T06:00:00+00:00,-67.9739,32.6082,-68.0026,32.6156,11122.7,7378.7,50.6,0.32,354.5,8.1,320.9,0.26,339.5,46.4,-67.942,32.6
A-017,2026-08-01T12:00:00+00:00,-67.942,32.6,-67.9293,32.27,11122.7,7378.7,50.6,1.38,95.9,11.2,57.2,1.52,80.9,36.1,-67.9562,32.9666
A-017,2026-08-01T18:00:00+00:00,-67.9562,32.9666,-67.9476,32.611,11122.7,7378.7,50.6,1.48,93.7,18.0,66.6,1.49,78.7,26.8,-67.9657,33.3617
A-017,2026-08-02T00:00:00+00:00,-67.9657,33.3617,-67.8518,33.2626,11122.7,7378.7,50.6,1.33,161.9,32.4,169.3,1.22,146.9,68.0,-68.0923,33.472
A-017,2026-08-02T06:00:00+00:00,-68.0923,33.472,-68.0739,33.6588,11122.7,7378.7,50.6,0.8,255.2,32.7,245.7,0.53,240.2,64.3,-68.1129,33.2643
A-017,2026-08-02T12:00:00+00:00,-68.1129,33.2643,-68.0548,33.5715,11122.7,7378.7,50.6,1.42,243.1,34.3,207.6,1.22,228.1,52.0,-68.1774,32.923
A-017,2026-08-02T18:00:00+00:00,-68.1774,32.923,-68.0911,32.8521,11122.7,7378.7,50.6,1.0,163.0,15.1,154.7,1.06,148.0,73.6,-68.2732,33.0018
A-017,2026-08-03T00:00:00+00:00,-68.2732,33.0018,-68.3414,32.6987,11122.7,7378.7,50.6,1.46,58.7,16.8,49.0,1.56,43.7,57.6,-68.1975,33.3387
A-017,2026-08-03T06:00:00+00:00,-68.1975,33.3387,-68.1529,33.6563,11122.7,7378.7,50.6,1.4,249.3,16.1,221.9,1.45,234.3,36.6,-68.247,32.9858
A-017,2026-08-03T12:00:00+00:00,-68.247,32.9858,-68.2951,32.936,11122.7,7378.7,50.6,0.57,21.0,26.2,0.5,0.36,6.0,68.5,-68.1934,33.0411
A-017,2026-08-03T18:00:00+00:00,-68.1934,33.0411,-68.1124,33.2784,11122.7,7378.7,50.6,1.33,227.4,28.7,207.6,1.34,212.4,82.9,-68.2835,32.7774
A-017,2026-08-04T00:00:00+00:00,-68.2835,32.7774,-68.2687,32.9381,11122.7,7378.7,50.6,0.68,256.0,15.5,256.0,0.52,241.0,23.0,-68.3,32.5988
A-017,2026-08-04T06:00:00+00:00,-68.3,32.5988,-68.1979,32.3958,11122.7,7378.7,50.6,1.41,143.7,10.2,142.1,1.55,128.7,27.3,-68.4136,32.8244
A-017,2026-08-04T12:00:00+00:00,-68.4136,32.8244,-68.4059,32.7299,11122.7,7378.7,50.6,0.4,102.4,8.1,75.7,0.36,87.4,46.9,-68.4221,32.9295
A-017,2026-08-04T18:00:00+00:00,-68.4221,32.9295,-68.3663,32.9423,11122.7,7378.7,50.6,0.62,184.8,18.2,160.9,0.41,169.8,28.0,-68.4841,32.9152
A-017,2026-08-05T00:00:00+00:00,-68.4841,32.9152,-68.5616,32.8857,11122.7,7378.7,50.6,0.87,7.9,19.1,351.8,0.73,352.9,37.9,-68.3979,32.948
A-017,2026-08-05T06:00:00+00:00,-68.3979,32.948,-68.4482,33.0748,11122.7,7378.7,50.6,0.76,317.1,27.9,308.8,0.4,302.1,32.2,-68.342,32.8072
A-017,2026-08-05T12:00:00+00:00,-68.342,32.8072,-68.4184,32.8247,11122.7,7378.7,50.6,0.85,355.2,28.0,340.8,0.54,340.2,37.8,-68.2572,32.7878
